Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);I1;Left;Inferior;8;9.1
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);I2;Left;Inferior;9;9.6
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);C;Left;Inferior;12;15.1
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);Pm3;Left;Inferior;10;14.2
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);Pm4;Left;Inferior;11.9;11.2
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M1;Left;Inferior;12.6;11.8
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M2;Left;Inferior;13.6;13
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M3;Left;Inferior;13.2;11.5
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);I1;Right;Inferior;8;9
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);I2;Right;Inferior;10;9.9
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);C;Right;Inferior;12;15.2
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);Pm3;Right;Inferior;10.3;14.6
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);Pm4;Right;Inferior;10.9;12
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M1;Right;Inferior;12.8;11.9
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M2;Right;Inferior;13.2;12.9
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M3;Right;Inferior;13.2;11.7
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);I1;Left;Superior;13.8;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);I2;Left;Superior;9.2;9.2
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);C;Left;Superior;16;13.2
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);Pm3;Left;Superior;9.7;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);Pm4;Left;Superior;10.1;13.5
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M1;Left;Superior;11.1;13.3
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M2;Left;Superior;11.2;14.1
Pongo pygmaeus;Cleveland Museum of Natural History;623;Male;Original (Mahler);M3;Left;Superior;10.9;13.1
