"Ancestry/Origin","ID","","Individual","astl","astl","astl","astr","astr","astr","bas","bas","bas","brg","brg","brg","dacl","dacl","dacl","dacr","dacr","dacr","ecml","ecml","ecml","ecmr","ecmr","ecmr","ectl","ectl","ectl","ectr","ectr","ectr","fmal","fmal","fmal","fmar","fmar","fmar","fmtl","fmtl","fmtl","fmtr","fmtr","fmtr","glb","glb","glb","lam","lam","lam","mastl","mastl","mastl","mastr","mastr","mastr","nas","nas","nas","obhi","obhi","obhi","obhir","obhir","obhir","obhs","obhs","obhs","obhsr","obhsr","obhsr","ops","ops","ops","proHEST","proHEST","proHEST","ssp","ssp","ssp","wnbl","wnbl","wnbl","wnbr","wnbr","wnbr","zygl","zygl","zygl","zygoml","zygoml","zygoml","zygomr","zygomr","zygomr","zygool","zygool","zygool","zygoor","zygoor","zygoor","zygr","zygr","zygr"
"Asian","2","CAPHIL","M","-9999","-9999","-9999","-196.9361","380.4608","167.9241","-166.8634","306.3614","191.540899999999","-118.3652","399.3745","294.2325","-9999","-9999","-9999","-178.939699999999","292.1548","293.345","-155.056","235.7666","238.310499999999","-9999","-9999","-9999","-9999","-9999","-9999","-218.138499999999","315.132","281.575899999999","-9999","-9999","-9999","-214.181999999999","320.978099999999","287.9144","-9999","-9999","-9999","-212.5497","328.253199999999","286.772499999999","-169.5826","293.713799999999","312.5663","-112.0543","408.1043","177.116","-117.1947","276.7225","176.1686","-220.2434","328.6727","172.904699999999","-171.0307","288.375499999999","303.5328","-9999","-9999","-9999","-208.2153","290.647899999999","282.9243","-9999","-9999","-9999","-195.3768","313.3457","305.307399999999","-159.163299999999","323.309599999999","158.5866","-196.8095","234.5428","271.0126","-191.9565","245.9396","273.840199999999","-169.473099999999","281.684599999999","294.473599999999","-176.9709","285.124199999999","295.1621","-9999","-9999","-9999","-132.717","239.8597","263.4083","-233.799499999999","291.742099999999","261.6075","-151.572499999999","262.0446","284.4442","-199.9445","288.113099999999","284.3886","-9999","-9999","-9999"
"Mongolian Chinese","3","UPenn Morton Collection","F","-72.3640999999999","185.8262","148.7688","-139.3211","255.7252","154.378999999999","-139.141899999999","188.182899999999","173.8119","-69.2539","241.8677","259.7977","-145.3146","158.9975","254.7544","-159.453399999999","174.7312","256.569099999999","-152.4292","132.296799999999","202.896899999999","-191.876299999999","175.266699999999","208.7474","-120.3883","135.441499999999","239.1738","-181.9966","204.8933","246.874799999999","-114.5722","139.849099999999","246.588799999999","-177.9002","208.3622","253.6022","-106.6008","143.0694","246.2928","-174.4093","216.858","250.478199999999","-146.3954","171.6071","274.6732","-60.2079999999999","262.383699999999","155.3013","-108.0998","153.133399999999","154.1926","-172.2493","223.267699999999","161.209399999999","-149.694799999999","168.6595","266.805299999999","-142.628099999999","138.057899999999","242.8291","-180.886599999999","180.1611","247.8041","-121.171899999999","149.1192","262.283","-166.288099999999","197.5946","267.557399999999","-129.192299999999","199.9781","142.6476","-9999","-9999","-9999","-180.7901","141.6218","236.4229","-150.6519","160.5704","258.456999999999","-157.5488","168.9794","259.4578","-102.8216","135.4473","202.1258","-138.607599999999","122.1986","220.5098","-200.8853","188.4028","225.8597","-144.6979","140.7269","243.7912","-178.451899999999","177.6129","247.941599999999","-186.3741","222.904799999999","216.1561"
"Mongolian Chinese","4","UPenn Morton Collection","F","-118.2457","192.275299999999","146.2375","-197.9179","259.0051","155.7219","-191.029799999999","190.5282","168.1758","-123.4845","237.5267","270.3376","-192.169099999999","157.8787","240.72","-209.174299999999","176.5992","244.717","-201.5815","131.4331","189.463799999999","-242.0223","175.7666","197.1868","-169.9498","135.4494","229.4659","-233.019299999999","200.4807","242.4871","-163.6578","140.1801","239.600599999999","-227.999799999999","203.091399999999","250.9926","-157.8887","141.725799999999","238.9771","-225.5549","209.482","252.833","-196.9113","167.6396","264.884799999999","-102.4718","275.864399999999","160.9387","-154.555399999999","159.938199999999","153.9257","-224.8639","228.091399999999","164.431","-199.671899999999","165.8201","257.031299999999","-191.5634","138.8794","229.366199999999","-230.4383","177.502","236.7353","-171.982699999999","148.715599999999","255.214599999999","-216.434599999999","191.5849","263.322499999999","-178.6189","208.055499999999","141.0876","-9999","-9999","-9999","-230.8383","143.9178","218.0919","-200.669","161.649","248.2294","-205.9898","166.390999999999","250.2888","-148.507399999999","139.6492","200.522799999999","-183.7666","124.3763","211.6772","-247.6012","188.228399999999","223.6609","-195.561299999999","143.4926","231.4334","-227.677699999999","175.2114","237.0513","-233.722399999999","228.1035","213.4747"
"Mongolian Chinese","5","UPenn Morton Collection","M","-52.5311","186.7122","146.4121","-117.4361","271.428999999999","157.192299999999","-125.447","192.334499999999","170.720499999999","-41.6704","247.712099999999","271.6945","-124.6041","169.1935","256.228299999999","-139.0154","186.598199999999","258.0133","-9999","-9999","-9999","-9999","-9999","-9999","-104.1696","139.5278","244.6494","-162.0903","217.6437","252.1571","-97.1038","144.2621","251.4461","-155.123899999999","220.6576","259.479499999999","-90.3605","144.7073","248.187","-153.7384","227.8415","256.154","-123.8955","182.384999999999","278.2355","-21.7338999999999","272.371199999999","176.4538","-95.9489999999999","157.950999999999","149.242099999999","-156.8006","236.4639","159.385899999999","-127.5772","178.6189","269.1419","-125.209","146.7939","246.8999","-160.529799999999","193.3869","250.1698","-101.7227","156.0078","266.000099999999","-141.2774","207.9214","272.6052","-111.4692","206.9657","144.2431","-9999","-9999","-9999","-171.709","151.372","236.096","-131.3067","171.854","261.4666","-137.5732","179.6586","262.431699999999","-9999","-9999","-9999","-122.7766","121.8478","219.4306","-187.5062","207.0577","224.388399999999","-123.7399","145.4221","246.628999999999","-162.6723","196.0653","250.0838","-9999","-9999","-9999"
"Mongolian Chinese","6","UPenn Morton Collection","M","-60.5529","173.5551","153.9566","-122.0964","258.2828","154.650499999999","-137.578599999999","181.8051","174.4318","-57.6723","238.128899999999","266.3372","-143.6886","160.8933","255.7444","-156.4049","178.4221","257.6487","-152.631499999999","130.0139","201.3914","-191.3785","178.984399999999","202.7492","-119.7818","135.0603","244.562099999999","-175.1061","209.4725","247.293","-112.2005","139.3879","254.8657","-168.805499999999","213.851699999999","256.992999999999","-105.3904","138.667499999999","251.1544","-167.7384","220.8206","252.420999999999","-139.085399999999","177.015999999999","277.1698","-46.2505","251.1741","154.9035","-104.9751","141.9539","157.63","-165.3955","224.9377","159.144499999999","-146.2675","171.228","267.9753","-143.8921","140.3175","244.8898","-176.205199999999","181.716199999999","245.4165","-118.1059","150.2441","267.604699999999","-158.0593","203.6146","269.9848","-124.681299999999","191.8297","144.134899999999","-192.275","138.9744","224.626299999999","-183.2439","145.684599999999","231.205299999999","-151.410599999999","163.2757","259.770199999999","-155.9323","169.3931","261.2085","-97.5361","129.586099999999","211.055499999999","-137.9068","119.4441","225.270199999999","-196.8839","196.047599999999","225.6919","-145.634899999999","142.7568","245.781","-176.261699999999","181.229199999999","245.287299999999","-175.7022","232.062999999999","212.5445"
"Mongolian Chinese","7","UPenn Morton Collection","M","-42.1308999999999","186.2971","150.9969","-111.0996","269.1055","157.9238","-117.8287","194.8223","171.7364","-37.4917","244.7684","270.8408","-118.9996","167.653799999999","255.6464","-133.3141","183.9358","257.0982","-128.1327","140.4007","202.1766","-169.1485","186.0157","210.6997","-95.5177999999999","141.187099999999","240.682999999999","-154.4579","216.746399999999","249.7109","-87.7826","146.280499999999","248.411","-148.107599999999","218.997899999999","254.395","-81.4656999999999","147.1047","248.267","-145.9618","226.9119","254.686299999999","-116.1596","181.083499999999","277.6025","-25.7662","266.9768","159.335399999999","-86.0717999999999","156.7619","152.575899999999","-148.909799999999","235.328599999999","157.5813","-124.2328","175.841199999999","267.091999999999","-118.4134","146.6283","243.3407","-156.0764","192.1851","248.672699999999","-95.78","158.7768","264.3842","-136.0535","208.0104","269.645699999999","-101.9884","209.952499999999","143.2903","-166.150499999999","144.6404","231.2543","-158.190499999999","151.139","237.4755","-127.5423","169.6079","259.0595","-132.006599999999","175.7958","259.943499999999","-76.1782","139.1413","204.394299999999","-113.1284","127.2834","222.6996","-174.2537","203.2","232.098999999999","-117.903099999999","146.1519","243.1029","-155.557799999999","191.2211","248.662499999999","-158.1552","238.0086","218.098999999999"
"Mongolian Chinese","8","UPenn Morton Collection","M","-123.6052","185.5218","145.9276","-194.845499999999","268.4594","152.78","-197.5414","188.6764","171.3282","-9999","-9999","-9999","-203.918399999999","159.2535","260.0846","-217.1904","173.286599999999","262.409699999999","-9999","-9999","-9999","-9999","-9999","-9999","-176.1082","130.5928","246.9091","-243.995299999999","206.526199999999","256.531499999999","-169.8651","135.1412","254.3666","-238.621","210.256499999999","263.158399999999","-160.6661","137.9572","251.3677","-235.241899999999","220.218999999999","260.87","-203.2473","171.074299999999","279.951","-9999","-9999","-9999","-163.023699999999","153.322399999999","150.6665","-232.4148","228.0894","158.783199999999","-207.401299999999","167.9713","273.5595","-199.700999999999","134.4224","248.105799999999","-242.3248","181.2955","254.3244","-177.924","146.8069","271.427799999999","-225.8915","198.0949","277.0753","-183.6202","206.151199999999","143.456899999999","-255.615199999999","128.9598","229.586099999999","-247.251399999999","136.2452","234.169199999999","-210.500499999999","162.2718","264.227399999999","-214.1814","167.0343","265.2006","-151.424499999999","133.783999999999","205.9291","-192.0446","116.9869","219.5526","-264.194599999999","193.622099999999","229.4002","-203.9135","140.6792","249.8539","-237.8702","176.5217","255.5286","-246.291599999999","232.7623","217.4857"
"African American","9",,"M","-9999","-9999","-9999","293.537199999999","143.7974","295.3029","288.4896","67.7647","326.8346","177.1894","139.9025","369.4187","268.012499999999","88.4432","416.5851","257.0751","71.2925","415.245","-9999","-9999","-9999","-9999","-9999","-9999","303.4504","113.4953","409.128499999999","248.407299999999","31.7002999999999","402.935","286.5102","126.1921","410.858799999999","231.846499999999","40.0009","404.468599999999","284.5187","129.977499999999","406.816399999999","226.8313","40.8312","400.1485","248.264","87.9745","429.587499999999","202.291699999999","129.9384","260.9221","330.4184","107.9573","320.280899999999","270.662899999999","18.5159999999999","313.5382","256.4125","83.7661999999999","426.265899999999","-9999","-9999","-9999","-9999","-9999","-9999","267.401","119.5129","421.925299999999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","301.1349","56.2747999999999","422.7803","268.4588","82.6261999999999","422.851","262.0339","74.489","422.4033","316.1804","129.1831","368.9279","319.923299999999","99.0050999999999","399.7133","271.2753","23.2239","396.7105","293.6544","94.9945","415.105599999999","264.555999999999","45.6394","413.744599999999","243.121","17.3428","363.043299999999"
"African American","10","CAPHIL","F","-9999","-9999","-9999","-201.9999","367.6347","186.942","-162.0222","302.799699999999","199.0582","-139.9951","385.2072","293.980399999999","-152.716199999999","277.3358","284.8337","-174.2777","281.3897","288.076799999999","-144.3463","246.8348","235.4709","-9999","-9999","-9999","-118.3205","269.5514","269.581399999999","-211.8291","293.0412","275.4538","-114.6915","276.857899999999","277.9042","-209.2742","300.5224","285.519099999999","-110.5252","280.6897","276.411999999999","-211.4093","307.2706","284.933499999999","-161.5925","283.6537","303.350399999999","-135.913999999999","412.8475","181.7536","-114.7277","293.110999999999","183.1483","-212.1105","322.7221","184.529","-163.2073","278.4884","297.8278","-141.756599999999","258.677","271.2139","-195.039099999999","272.7493","274.4438","-129.601","281.995799999999","294.2431","-194.1724","299.1444","298.656499999999","-156.8967","325.8688","168.679","-9999","-9999","-9999","-174.4943","236.679399999999","268.7266","-160.445799999999","272.9454","291.658099999999","-169.1689","275.2579","292.1682","-104.599","280.7354","234.7627","-129.253999999999","245.823","252.145999999999","-213.4258","266.472899999999","257.2486","-141.516799999999","258.473299999999","271.6046","-195.078","272.3285","274.991699999999","-221.552899999999","313.0398","241.2946"
"African American","11","CAPHIL","M","-161.3693","220.574199999999","216.8733","-276.702","238.597199999999","220.1886","-229.038","177.0367","233.3954","-213.337799999999","247.2954","349.488299999999","-224.1543","138.976499999999","319.0675","-244.2139","142.8985","318.662399999999","-209.996","109.9448","260.572099999999","-276.8371","121.3116","262.355599999999","-185.905599999999","133.8529","302.8041","-282.105099999999","153.7597","302.8122","-183.1083","140.395999999999","312.9818","-280.8394","161.465","313.537199999999","-177.6295","147.9897","311.5011","-282.793","169.6039","312.635499999999","-233.2384","142.9052","335.8553","-9999","-9999","-9999","-177.5038","163.8273","211.0808","-281.030899999999","179.864399999999","215.5543","-234.461199999999","139.940499999999","330.5591","-208.902099999999","121.6658","299.098299999999","-266.074999999999","133.281499999999","300.6863","-195.8367","141.981699999999","328.5067","-265.6222","156.080999999999","329.994199999999","-224.1895","203.167599999999","207.7297","-249.347199999999","84.6434","290.997","-244.947399999999","102.0935","291.8981","-232.2143","133.609199999999","322.3724","-239.884099999999","135.5461","322.8324","-165.106799999999","149.649499999999","268.4902","-194.6176","112.4903","278.7133","-284.103299999999","131.5984","280.5575","-209.1321","121.0068","299.201","-263.5987","132.3172","301.4961","-294.308899999999","175.841","270.720399999999"
