:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	2	1	-117,780699	272,630649	285,377005	-214,182	320,9781	287,9144	-113,132174	275,85752	284,384987	-169,5826	293,7138	312,5663	-171,0307	288,3755	303,5328	
Darkorange	Dot	5	1	-97,1038	144,2621	251,4461	-155,1239	220,6576	259,4795	-90,3605	144,7073	248,187	-123,8955	182,385	278,2355	-127,5772	178,6189	269,1419	
Darkorange	Dot	6	1	-112,2005	139,3879	254,8657	-168,8055	213,8517	256,993	-105,3904	138,6675	251,1544	-139,0854	177,016	277,1698	-146,2675	171,228	267,9753	
Darkorange	Dot	7	1	-87,7826	146,2805	248,411	-148,1076	218,9979	254,395	-81,4657	147,1047	248,267	-116,1596	181,0835	277,6025	-124,2328	175,8412	267,092	
Darkorange	Dot	8	1	-169,8651	135,1412	254,3666	-238,621	210,2565	263,1584	-160,6661	137,9572	251,3677	-203,2473	171,0743	279,951	-207,4013	167,9713	273,5595	
Darkorange	Dot	24	1	189,8937	256,288	371,1653	174,3352	149,4943	370,5914	187,5334	258,5723	365,7624	165,7019	205,6892	388,0463	174,396	203,8143	389,4855	
Darkorange	Dot	26	1	108,9627	254,1262	385,5659	143,8886	168,401	377,3766	106,5016	255,1598	381,9304	110,8004	203,3235	396,9471	120,5049	208,3667	394,9562	
Darkorange	Dot	27	1	202,5055	253,2335	383,0575	185,1565	143,757	380,9547	204,2409	256,9451	375,3308	179,15	205,5428	398,9446	189,155	204,0109	399,1485	
Darkorange	Dot	28	1	164,5957	262,7167	378,4476	149,9973	156,388	367,7181	161,0329	264,8106	373,9142	145,887	210,7462	390,6073	152,3611	210,7969	388,7958	
Darkorange	Dot	29	1	145,1119	280,2286	369,095	155,6945	185,9084	368,5192	141,873	282,6803	365,0237	136,1534	232,2107	384,4389	144,5707	232,0739	383,8191	
Darkorange	Dot	30	1	178,9456	250,0385	355,011	154,9126	153,2519	349,3128	177,2484	250,8145	350,4965	153,2664	204,522	367,6288	160,2991	202,4865	366,8874	
Darkorange	Dot	31	1	159,4935	284,7134	373,2454	166,0768	183,7874	375,9785	158,034	287,5935	367,8684	149,4717	233,8653	396,7274	161,2893	235,8109	392,1073	
Darkorange	Dot	34	1	168,4008	269,5792	375,8206	151,4977	162,1831	374,5721	165,6493	273,6183	370,6599	145,8027	217,7258	395,5539	151,5956	217,3856	392,4429	
Darkorange	Dot	38	1	146,7558	285,4297	371,7067	164,2906	187,3011	374,1719	145,8451	288,9151	365,1674	141,171	237,6999	391,7965	148,4033	237,1445	390,0415	
Darkorange	Dot	43	1	176,0401	235,6842	381,8654	161,461	134,7318	377,1162	175,6188	238,5145	377,8973	151,6076	188,1759	397,0631	163,7334	185,3534	392,3054	
Darkorange	Dot	49	1	155,3443	280,2774	363,2527	161,8878	188,3161	363,2441	153,0453	281,5754	358,2476	149,1794	233,4273	382,3085	156,3297	234,1661	379,7758	
Darkorange	Dot	52	1	185,6423	245,6873	378,5443	178,638	144,7345	385,1095	182,9784	247,6667	374,2017	165,5379	196,1685	398,1304	175,6436	195,7345	398,7096	
Darkorange	Dot	56	1	103,2734	279,1717	393,7203	152,7921	193,0797	395,6099	103,5659	276,8795	387,1525	114,0235	226,4667	411,9014	121,1928	230,8126	410,3961	
Darkorange	Dot	59	1	142,8108	242,1382	383,6838	131,1056	142,0157	379,4947	139,2064	245,1266	377,6722	122,1572	194,0622	403,1689	128,1823	193,4179	402,311	
Darkorange	Dot	60	1	137,0732	238,9508	391,1307	128,141	140,3412	381,0896	134,7147	241,8072	385,2073	116,2606	190,0863	403,155	122,0467	188,5104	402,0048	
Darkorange	Dot	61	1	196,989	248,721	379,5139	180,9486	143,3166	371,1157	192,7024	249,7775	375,3876	176,9137	194,7792	395,8639	185,2806	194,626	393,586	
Darkorange	Dot	62	1	142,3415	277,2896	359,6333	146,742	179,577	359,6056	139,543	279,7663	355,7179	130,6075	229,373	377,3215	137,3157	227,8908	376,4825	
Darkorange	Dot	66	1	204,8047	249,2457	359,0332	192,0154	150,7251	361,0798	207,2414	252,0482	355,5711	186,4721	201,5909	381,5849	195,6323	201,5303	378,6867	
Darkorange	Dot	67	1	145,472	280,9745	378,7488	152,1332	180,6284	380,6147	140,6393	282,9999	376,4685	134,005	230,2163	399,1484	139,7164	230,9931	397,9332	
Darkorange	Dot	77	1	150,0908	284,4179	377,8953	146,4319	179,2913	372,6429	151,5063	287,8836	368,4136	130,4382	230,9081	393,9349	137,4614	230,5573	394,3177	
Darkorange	Dot	81	1	228,2871	235,7468	377,7369	201,5521	128,1258	380,6643	224,4786	238,3285	371,9729	197,9025	185,7735	399,2535	206,4177	184,3055	397,7674	
Darkorange	Dot	82	1	152,5536	275,4711	367,1474	153,969	175,2086	364,038	149,9784	277,2552	361,2944	135,2038	223,3049	384,4512	144,1401	222,932	382,9865	
Darkorange	Dot	83	1	148,0682	270,0726	378,936	144,8032	170,96	370,4357	148,2042	272,2452	375,385	130,5739	220,8067	387,2688	138,1693	220,8237	386,4836	
Darkorange	Dot	84	1	149,4677	270,2994	377,7303	144,9782	172,0803	369,7684	151,5192	272,3019	372,4669	131,41	221,4507	386,6235	139,4537	220,0961	386,3404	
